RMSE,MAE,MAPE,time
0.8364,0.7575,0.25,2025-07-12T12:20:22.904373
0.9104,0.833,0.28,2025-07-12T12:20:38.437582
0.9274,0.8565,0.29,2025-07-12T12:20:39.686124
0.9665,0.9075,0.3,2025-07-12T12:20:40.303245
0.9857,0.933,0.31,2025-07-12T12:20:40.852546
1.0198,0.972,0.32,2025-07-12T12:20:41.407065
0.9876,0.9195,0.3,2025-07-12T12:20:41.923264
0.9581,0.875,0.28,2025-07-12T12:20:42.484036
0.9258,0.839,0.27,2025-07-12T12:20:43.116839
0.9493,0.87,0.28,2025-07-12T12:20:43.683135
0.9598,0.881,0.28,2025-07-12T12:20:44.264156
